ITEM,ZONE_ID,SELLING_RETAIL,SIMPLE_PROMO_RETAIL,P1_COMP1_DISPLAY_ID,P1_COMP2_DISPLAY_ID,P2_COMP1_DISPLAY_ID,P2_COMP2_DISPLAY_ID
050925811,5,1,1,,,,
050940579,5,1,1,,,,
051243084,5,1,1,,,,
051244181,5,1,1,,,,
052342512,5,1,1,,,,
050569702,5,0,0,,,,
050814729-001,5,4,4,,,,
064510128-001,5,4,4,,,,
051763067,5,8,8,,,,
051739425,5,2,2,,,,
074069606,5,5,5,,,,
053752428,5,4,4,,,,
053775286,5,4,4,,,,
057953829-001,5,5,5,,,,
058665909,5,5,5,,,,
059310015,5,5,5,,,,
059838111,5,2,2,,,,
060477980-001,5,5,5,,,,
060478040,5,5,5,,,,
060478132,5,4,4,,,,
060478224-001,5,5,5,,,,
060731218,5,5,5,,,,
061196291,5,5,5,,,,
064036678,5,5,5,,,,
064069875,5,5,5,,,,
064339907,5,7,7,,,,
064461986,5,3,3,,,,
064462036,5,2,2,,,,
064501197,5,1,1,,,,
065242910,5,3,3,,,,
067701514,5,5,5,,,,
068014928,5,5,5,,,,
068058507,5,5,5,,,,
052119668,5,2,2,,,,
059330227,5,2,2,,,,
050979885,5,4,4,,,,
059330227-001,5,2,2,,,,
065398754-002,5,3,3,,,,
050932641-001,5,3,3,,,,
060477922,5,1,1,,,,
051763067-001,5,8,8,,,,
071508628,5,2,2,,,,
060487115-002,5,5,5,,,,
051606871,5,4,4,,,,
050969223-001,5,2,2,,,,
059330227-002,5,2,2,,,,
050149013,5,5,5,,,,
059143760,5,5,5,,,,
058041058-001,5,3,3,,,,
058041058-002,5,5,5,,,,
058041058-003,5,3,3,,,,
061716306,5,5,5,,,,
050979885-003,5,4,4,,,,
059955824-001,5,3,3,,,,
065398702-001,5,3,3,,,,
050932641-003,5,3,3,,,,
065398754-001,5,3,3,,,,
065398754,5,3,3,,,,
064510128,5,4,4,,,,
052119668-004,5,1,1,,,,
051739425-002,5,2,2,,,,
065106358,5,18,18,,,,
051388995,5,3,3,,,,
051388995-001,5,3,3,,,,
051505282,5,2,2,,,,
051505282-001,5,7,7,,,,
051973642,5,10,10,,,,
052086642,5,8,8,,,,
053542280-001,5,3,3,,,,
057470133-002,5,3,3,,,,
059309778,5,10,10,,,,
059331140,5,7,7,,,,
