OFFER_ID,ZONE_ID,TPNB,OFFER_NAME,POS_DESCRIPTION1,START_DATE,END_DATE,CF_DESC1,CF_DESC2
R29029470,12,066367922,ROI HARDWARE,,25-Sep-10,22-Sep-35,#N/A,#N/A
R29029485,12,066372116,ROI HARDWARE,,25-Sep-10,22-Sep-35,#N/A,#N/A
R29029486,12,066372149,ROI HARDWARE,,25-Sep-10,22-Sep-35,#N/A,#N/A
R29032426,12,061587099,P 10 promotions,,26-Oct-10,26-Oct-35,#N/A,#N/A
R29032445,12,063072516,P 10 promotions,,26-Oct-10,26-Oct-35,#N/A,#N/A
R29032446,12,064881419,P 10 promotions,,26-Oct-10,26-Oct-35,#N/A,#N/A
R29032465,12,070016031,P 10 promotions,,26-Oct-10,26-Oct-35,#N/A,#N/A
R29032485,12,066394889,P 10 promotions,,26-Oct-10,26-Oct-35,#N/A,#N/A
R29032488,12,066394906,P 10 promotions,,26-Oct-10,26-Oct-35,#N/A,#N/A
R29637630,12,061926344,TOMORITE GROBAG NOW5.55,,23-Apr-12,24-Dec-20,#N/A,#N/A
R29637630,13,061926344,TOMORITE GROBAG NOW5.55,,23-Apr-12,24-Dec-20,#N/A,#N/A
R29637702,12,071314258,Kids Table and Chair - Red Chair NOW 5,,01-May-12,24-Dec-20,#N/A,#N/A
R29637702,13,071314258,Kids Table and Chair - Red Chair NOW 5,,01-May-12,24-Dec-20,#N/A,#N/A
R29637705,12,071334015,Kids Table and Chair - Blue Chair NOW 5,,01-May-12,24-Dec-20,#N/A,#N/A
R29637705,13,071334015,Kids Table and Chair - Blue Chair NOW 5,,01-May-12,24-Dec-20,#N/A,#N/A
R29637805,12,071455004,CADIZ 6PCS STEEL FOLDING SET NOW 150.00,,01-May-12,24-Dec-20,#N/A,#N/A
R29637805,13,071455004,CADIZ 6PCS STEEL FOLDING SET NOW 150.00,,01-May-12,24-Dec-20,#N/A,#N/A
R29697965,12,071526658,Westland Container and Basket WNS OFR,,17-May-12,17-May-19,#N/A,#N/A
R29697965,13,071526658,Westland Container and Basket WNS OFR,,17-May-12,17-May-19,#N/A,#N/A
A29721647,5,070918231,3 LIONS FLAG 3.00 SPECIAL PURCHASE,3 LIONS FLAG,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS FLAG
A29721647,6,070918231,3 LIONS FLAG 3.00 SPECIAL PURCHASE,3 LIONS FLAG,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS FLAG
A29721647,7,070918231,3 LIONS FLAG 3.00 SPECIAL PURCHASE,3 LIONS FLAG,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS FLAG
A29721647,9,070918231,3 LIONS FLAG 3.00 SPECIAL PURCHASE,3 LIONS FLAG,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS FLAG
A29721688,5,070918248,3 LIONS KICK & TRICK BALL 3.00 SPECIAL PURCHASE,3 LIONS KICK|& TRICK BALL,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS KICK|& TRICK BALL
A29721688,6,070918248,3 LIONS KICK & TRICK BALL 3.00 SPECIAL PURCHASE,3 LIONS KICK|& TRICK BALL,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS KICK|& TRICK BALL
A29721688,7,070918248,3 LIONS KICK & TRICK BALL 3.00 SPECIAL PURCHASE,3 LIONS KICK|& TRICK BALL,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS KICK|& TRICK BALL
A29721688,9,070918248,3 LIONS KICK & TRICK BALL 3.00 SPECIAL PURCHASE,3 LIONS KICK|& TRICK BALL,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS KICK|& TRICK BALL
A29721690,5,070918202,3 LIONS WATERBOTTLE 3.00 SPECIAL PURCHASE,3 LIONS|WATERBOTTLE,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS|WATERBOTTLE
A29721690,6,070918202,3 LIONS WATERBOTTLE 3.00 SPECIAL PURCHASE,3 LIONS|WATERBOTTLE,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS|WATERBOTTLE
A29721690,7,070918202,3 LIONS WATERBOTTLE 3.00 SPECIAL PURCHASE,3 LIONS|WATERBOTTLE,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS|WATERBOTTLE
A29721690,9,070918202,3 LIONS WATERBOTTLE 3.00 SPECIAL PURCHASE,3 LIONS|WATERBOTTLE,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS|WATERBOTTLE
A29721692,5,070918225,3 LIONS CAR FLAG 2.00 SPECIAL PURCHASE,3 LIONS|CAR FLAG,31-May-12,04-Jul-13,SPECIAL PURCHASE 25p,3 LIONS|CAR FLAG
A29721692,6,070918225,3 LIONS CAR FLAG 2.00 SPECIAL PURCHASE,3 LIONS|CAR FLAG,31-May-12,04-Jul-13,SPECIAL PURCHASE 25p,3 LIONS|CAR FLAG
A29721692,7,070918225,3 LIONS CAR FLAG 2.00 SPECIAL PURCHASE,3 LIONS|CAR FLAG,31-May-12,04-Jul-13,SPECIAL PURCHASE 25p,3 LIONS|CAR FLAG
A29721692,9,070918225,3 LIONS CAR FLAG 2.00 SPECIAL PURCHASE,3 LIONS|CAR FLAG,31-May-12,04-Jul-13,SPECIAL PURCHASE 25p,3 LIONS|CAR FLAG
A29721705,5,070918254,3 LIONS SWEATBANDS 3.00 SPECIAL PURCHASE,3 LIONS|SWEAT BAND,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS|SWEAT BAND
A29721705,6,070918254,3 LIONS SWEATBANDS 3.00 SPECIAL PURCHASE,3 LIONS|SWEAT BAND,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS|SWEAT BAND
A29721705,7,070918254,3 LIONS SWEATBANDS 3.00 SPECIAL PURCHASE,3 LIONS|SWEAT BAND,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS|SWEAT BAND
A29721705,9,070918254,3 LIONS SWEATBANDS 3.00 SPECIAL PURCHASE,3 LIONS|SWEAT BAND,31-May-12,04-Jul-13,SPECIAL PURCHASE 50p,3 LIONS|SWEAT BAND
A29953125,5,067779393,PD TREACLEMOON SCRUB �1.99-1.48 Save 51p,TREACLEMOON|RASPBERRY KISS|WASH SCRUB,16-Oct-12,17-Jun-13,SAVE 51p Was �1.99 Now �1.48,TREACLEMOON|RASPBERRY KISS|WASH SCRUB   Crossed out prices charged at most Tesco stores in GB
A29953125,6,067779393,PD TREACLEMOON SCRUB �1.99-1.48 Save 51p,TREACLEMOON|RASPBERRY KISS|WASH SCRUB,16-Oct-12,17-Jun-13,SAVE 51p Was �1.99 Now �1.48,TREACLEMOON|RASPBERRY KISS|WASH SCRUB   Crossed out prices charged at most Tesco stores in GB
A29953125,7,067779393,PD TREACLEMOON SCRUB �1.99-1.48 Save 51p,TREACLEMOON|RASPBERRY KISS|WASH SCRUB,16-Oct-12,17-Jun-13,SAVE 51p Was �1.99 Now �1.48,TREACLEMOON|RASPBERRY KISS|WASH SCRUB   Crossed out prices charged at most Tesco stores in GB
A29953125,9,067779393,PD TREACLEMOON SCRUB �1.99-1.48 Save 51p,TREACLEMOON|RASPBERRY KISS|WASH SCRUB,16-Oct-12,17-Jun-13,SAVE 51p Was �1.99 Now �1.48,TREACLEMOON|RASPBERRY KISS|WASH SCRUB   Crossed out prices charged at most Tesco stores in GB
A29964205,5,067776125,ALONG CAME BUBBLE �3.99-1.99 HP,ALONG CAME|BETTY SO MUCH|BUBBLE,17-Sep-12,17-Jun-13,Half Price Was �3.99 Now �1.99,ALONG CAME|BETTY SO MUCH|BUBBLE   Crossed out prices charged at most Tesco stores in GB
A29964205,6,067776125,ALONG CAME BUBBLE �3.99-1.99 HP,ALONG CAME|BETTY SO MUCH|BUBBLE,17-Sep-12,17-Jun-13,Half Price Was �3.99 Now �1.99,ALONG CAME|BETTY SO MUCH|BUBBLE   Crossed out prices charged at most Tesco stores in GB
A29964205,7,067776125,ALONG CAME BUBBLE �3.99-1.99 HP,ALONG CAME|BETTY SO MUCH|BUBBLE,17-Sep-12,17-Jun-13,Half Price Was �3.99 Now �1.99,ALONG CAME|BETTY SO MUCH|BUBBLE   Crossed out prices charged at most Tesco stores in GB
A29964205,9,067776125,ALONG CAME BUBBLE �3.99-1.99 HP,ALONG CAME|BETTY SO MUCH|BUBBLE,17-Sep-12,17-Jun-13,Half Price Was �3.99 Now �1.99,ALONG CAME|BETTY SO MUCH|BUBBLE   Crossed out prices charged at most Tesco stores in GB
A29964206,5,067836619,ALONG CAME BETTYSKIN �4.99-1.99 BTHP,ALONG CAME BETTY|SKIN & BEYOND|BUTTER,17-Sep-12,17-Jun-13,Better Than Half Price Was �4.99 Now �1.99,ALONG CAME BETTY|SKIN & BEYOND|BUTTER
A29964206,6,067836619,ALONG CAME BETTYSKIN �4.99-1.99 BTHP,ALONG CAME BETTY|SKIN & BEYOND|BUTTER,17-Sep-12,17-Jun-13,Better Than Half Price Was �4.99 Now �1.99,ALONG CAME BETTY|SKIN & BEYOND|BUTTER
A29964206,7,067836619,ALONG CAME BETTYSKIN �4.99-1.99 BTHP,ALONG CAME BETTY|SKIN & BEYOND|BUTTER,17-Sep-12,17-Jun-13,Better Than Half Price Was �4.99 Now �1.99,ALONG CAME BETTY|SKIN & BEYOND|BUTTER
A29964206,9,067836619,ALONG CAME BETTYSKIN �4.99-1.99 BTHP,ALONG CAME BETTY|SKIN & BEYOND|BUTTER,17-Sep-12,17-Jun-13,Better Than Half Price Was �4.99 Now �1.99,ALONG CAME BETTY|SKIN & BEYOND|BUTTER
A29966766,5,067777245,PD ALONG CAME BETTYSKIN �2.19-1.97 Save 22p,ALONG CAME BETTY|SKIN THING|LIGHT BUTTER,17-Sep-12,17-Jun-13,SAVE 22p Was �2.19 Now �1.97,ALONG CAME BETTY|SKIN THING|LIGHT BUTTER   Crossed out prices charged at most Tesco stores in GB
A29966766,6,067777245,PD ALONG CAME BETTYSKIN �2.19-1.97 Save 22p,ALONG CAME BETTY|SKIN THING|LIGHT BUTTER,17-Sep-12,17-Jun-13,SAVE 22p Was �2.19 Now �1.97,ALONG CAME BETTY|SKIN THING|LIGHT BUTTER   Crossed out prices charged at most Tesco stores in GB
A29966766,7,067777245,PD ALONG CAME BETTYSKIN �2.19-1.97 Save 22p,ALONG CAME BETTY|SKIN THING|LIGHT BUTTER,17-Sep-12,17-Jun-13,SAVE 22p Was �2.19 Now �1.97,ALONG CAME BETTY|SKIN THING|LIGHT BUTTER   Crossed out prices charged at most Tesco stores in GB
A29966766,9,067777245,PD ALONG CAME BETTYSKIN �2.19-1.97 Save 22p,ALONG CAME BETTY|SKIN THING|LIGHT BUTTER,17-Sep-12,17-Jun-13,SAVE 22p Was �2.19 Now �1.97,ALONG CAME BETTY|SKIN THING|LIGHT BUTTER   Crossed out prices charged at most Tesco stores in GB
R30091845,12,072113137,DURACELL ULTRA  PWR 12PK,,02-Nov-12,01-Jul-13,#N/A,#N/A
R30091845,13,072113137,DURACELL ULTRA  PWR 12PK,,02-Nov-12,01-Jul-13,#N/A,#N/A
R30240905,12,073006545,Irelnd Conmra No 1 wns offer,,22-Dec-12,30-Jun-13,#N/A,#N/A
R30240905,13,073006545,Irelnd Conmra No 1 wns offer,,22-Dec-12,30-Jun-13,#N/A,#N/A
R30240986,12,073006551,Illustrations Ireland wns offer,,22-Dec-12,30-Jun-13,#N/A,#N/A
R30240986,13,073006551,Illustrations Ireland wns offer,,22-Dec-12,30-Jun-13,#N/A,#N/A
R30241026,12,073006568,Signature Ireland wns offer,,22-Dec-12,30-Jun-13,#N/A,#N/A
R30241026,13,073006568,Signature Ireland wns offer,,22-Dec-12,30-Jun-13,#N/A,#N/A
R30241046,12,073006580,Celtic Pillar wns offer,,22-Dec-12,30-Jun-13,#N/A,#N/A
R30241046,13,073006580,Celtic Pillar wns offer,,22-Dec-12,30-Jun-13,#N/A,#N/A
R30241055,12,073006597,Doo Lough wns offer,,22-Dec-12,30-Jun-13,#N/A,#N/A
R30241055,13,073006597,Doo Lough wns offer,,22-Dec-12,30-Jun-13,#N/A,#N/A
R30241066,12,067541720,Sony Ericsson x-10mini,,26-Dec-12,26-Dec-13,#N/A,#N/A
R30241066,13,067541720,Sony Ericsson x-10mini,,26-Dec-12,26-Dec-13,#N/A,#N/A
R30241105,12,053028676,LG Cookie Style T310Black,,26-Dec-12,26-Dec-13,#N/A,#N/A
R30241105,13,053028676,LG Cookie Style T310Black,,26-Dec-12,26-Dec-13,#N/A,#N/A
A30255845,5,070438050,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,5,070439417,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,5,072163941,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,5,072163970,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,5,072164364,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,6,070438050,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,6,070439417,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,6,072163941,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,6,072163970,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,6,072164364,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,7,070438050,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,7,070439417,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,7,072163941,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,7,072163970,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,7,072164364,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,9,070438050,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,9,070439417,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,9,072163941,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,9,072163970,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
A30255845,9,072164364,T FIN* FRT 350G-360G w4.99-w2-n1 BTHP LTPO,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY,21-Jan-13,31-Dec-13,Better Than Half Price Was �2.00 Now �1.00,TESCO FINEST*|CHRISTMAS  PEACHES| WITH  BRANDY
R30317486,12,070501390,MY NAME PENCILS JAMIE wns offer,,01-Apr-13,31-Dec-13,#N/A,#N/A
R30317486,13,070501390,MY NAME PENCILS JAMIE wns offer,,01-Apr-13,31-Dec-13,#N/A,#N/A
R30317488,12,070501770,MY NAME�PENCILS MICHAEL wns offer,,01-Apr-13,31-Dec-13,#N/A,#N/A
R30317488,13,070501770,MY NAME�PENCILS MICHAEL wns offer,,01-Apr-13,31-Dec-13,#N/A,#N/A
R30317505,12,070501464,MY NAME�PENCILS KATE wns offer,,01-Apr-13,31-Dec-13,#N/A,#N/A
R30317505,13,070501464,MY NAME�PENCILS KATE wns offer,,01-Apr-13,31-Dec-13,#N/A,#N/A
R30317525,12,070501211,MY NAME�PENCILS ANNA wns offer,,01-Apr-13,31-Dec-13,#N/A,#N/A
R30317525,13,070501211,MY NAME�PENCILS ANNA wns offer,,01-Apr-13,31-Dec-13,#N/A,#N/A
R30317565,12,064420655,ORANGE FLOWERS�PENCILS wns offer,,01-Apr-13,31-Dec-13,#N/A,#N/A
