OFFER_ID,ZONE_ID,TPNB,CF_DESC1,CF_DESC2
A29721688,6,070918248,SPECIAL PURCHASE 50p,3 LIONS|WATERBOTTLE
A29721689,6,070918248,SPECIAL PURCHASE 50p,3 LIONS|CAR FLAG
A29721690,7,070918248,SPECIAL PURCHASE 50p,5 LIONS KICK|& TRICK BALL
A29721690,9,070918248,SPECIAL PURCHASE 50p,8 LIONS KICK|& TRICK BALL
A29721690,7,0123456,SPECIAL PURCHASE 50p,3 LIONS KICK|& TRICK BALL
R29029470,12,066367922,Some promotion,Some promotion
R29029470,12,066367922,Some promotion,Some promotion
R29029470,5,066367922,Some promotion,Some promotion
R29032426,12,061587099,#N/A,#N/A
R29032445,12,063072516,#N/A,#N/A
A29721647,5,70918231,SPECIAL PURCHASE 50p,3 LIONS FLAG
A29721647,6,70918231,SPECIAL PURCHASE 50p,3 LIONS FLAG
