STORE,ZONE_ID,NAME,CURRENCY_CODE
2002,5,UK National,GBP
2006,5,UK National,GBP
2008,5,UK National,GBP
2011,5,UK National,GBP
2015,5,UK National,GBP
2016,5,UK National,GBP
2017,5,UK National,GBP
2019,5,UK National,GBP
2020,5,UK National,GBP
2021,5,UK National,GBP
2022,5,UK National,GBP
2025,5,UK National,GBP
2027,5,UK National,GBP
2030,5,UK National,GBP
2031,5,UK National,GBP
2033,5,UK National,GBP
2038,5,UK National,GBP
2039,5,UK National,GBP
2041,5,UK National,GBP
2044,5,UK National,GBP
2047,5,UK National,GBP
2048,5,UK National,GBP
2050,5,UK National,GBP
2055,5,UK National,GBP
2056,5,UK National,GBP
2057,5,UK National,GBP
2064,5,UK National,GBP
2065,5,UK National,GBP
2072,5,UK National,GBP
2073,5,UK National,GBP
2078,5,UK National,GBP
2080,5,UK National,GBP
2081,5,UK National,GBP
2082,5,UK National,GBP
2083,5,UK National,GBP
2087,5,UK National,GBP
2089,5,UK National,GBP
2092,5,UK National,GBP
2094,5,UK National,GBP
2095,5,UK National,GBP
2096,5,UK National,GBP
2097,5,UK National,GBP
2098,5,UK National,GBP
2099,5,UK National,GBP
2100,5,UK National,GBP
2101,5,UK National,GBP
2102,5,UK National,GBP
2103,5,UK National,GBP
2104,5,UK National,GBP
2105,5,UK National,GBP
2107,5,UK National,GBP
2113,5,UK National,GBP
2115,5,UK National,GBP
2117,5,UK National,GBP
2120,5,UK National,GBP
2122,5,UK National,GBP
2124,5,UK National,GBP
2126,5,UK National,GBP
2128,5,UK National,GBP
2130,5,UK National,GBP
2131,5,UK National,GBP
2132,5,UK National,GBP
2134,5,UK National,GBP
2136,5,UK National,GBP
2139,5,UK National,GBP
2140,5,UK National,GBP
2141,5,UK National,GBP
2142,5,UK National,GBP
2143,5,UK National,GBP
2151,5,UK National,GBP
2152,5,UK National,GBP
2154,5,UK National,GBP
2156,5,UK National,GBP
2158,5,UK National,GBP
2160,5,UK National,GBP
2162,5,UK National,GBP
2163,5,UK National,GBP
2164,5,UK National,GBP
2166,5,UK National,GBP
2167,5,UK National,GBP
2169,5,UK National,GBP
2170,5,UK National,GBP
2171,5,UK National,GBP
2172,5,UK National,GBP
2173,5,UK National,GBP
2174,5,UK National,GBP
2179,5,UK National,GBP
2184,5,UK National,GBP
2186,5,UK National,GBP
2187,5,UK National,GBP
2193,5,UK National,GBP
2195,5,UK National,GBP
2200,5,UK National,GBP
2201,5,UK National,GBP
2202,5,UK National,GBP
2204,5,UK National,GBP
2214,5,UK National,GBP
2215,5,UK National,GBP
2217,5,UK National,GBP
2222,5,UK National,GBP
2226,5,UK National,GBP
2228,5,UK National,GBP
2230,5,UK National,GBP
2233,5,UK National,GBP
2239,5,UK National,GBP
2241,5,UK National,GBP
2242,5,UK National,GBP
2243,5,UK National,GBP
2248,5,UK National,GBP
2250,5,UK National,GBP
2253,5,UK National,GBP
2255,5,UK National,GBP
2261,5,UK National,GBP
2265,5,UK National,GBP
2266,5,UK National,GBP
2268,5,UK National,GBP
2269,5,UK National,GBP
2270,5,UK National,GBP
2271,5,UK National,GBP
2272,5,UK National,GBP
2273,5,UK National,GBP
2275,5,UK National,GBP
2278,5,UK National,GBP
2279,5,UK National,GBP
2280,5,UK National,GBP
2285,5,UK National,GBP
2286,5,UK National,GBP
2287,5,UK National,GBP
2288,5,UK National,GBP
2289,5,UK National,GBP
2290,5,UK National,GBP
2294,5,UK National,GBP
2295,5,UK National,GBP
2296,5,UK National,GBP
2297,5,UK National,GBP
2302,5,UK National,GBP
2303,5,UK National,GBP
2308,5,UK National,GBP
2310,5,UK National,GBP
2312,5,UK National,GBP
2313,5,UK National,GBP
2315,5,UK National,GBP
2316,5,UK National,GBP
2321,5,UK National,GBP
2322,5,UK National,GBP
2323,5,UK National,GBP
2325,5,UK National,GBP
2326,5,UK National,GBP
2327,5,UK National,GBP
2328,5,UK National,GBP
2329,5,UK National,GBP
2330,5,UK National,GBP
2331,5,UK National,GBP
2335,5,UK National,GBP
2343,5,UK National,GBP
2352,5,UK National,GBP
2371,5,UK National,GBP
2372,5,UK National,GBP
2392,5,UK National,GBP
2393,5,UK National,GBP
2394,5,UK National,GBP
2395,5,UK National,GBP
2404,5,UK National,GBP
2406,5,UK National,GBP
2407,5,UK National,GBP
2413,5,UK National,GBP
2416,5,UK National,GBP
2418,5,UK National,GBP
2422,5,UK National,GBP
2423,5,UK National,GBP
2425,5,UK National,GBP
2427,5,UK National,GBP
2431,5,UK National,GBP
2436,5,UK National,GBP
2438,5,UK National,GBP
2440,5,UK National,GBP
2445,5,UK National,GBP
2449,5,UK National,GBP
2450,5,UK National,GBP
2452,5,UK National,GBP
2454,5,UK National,GBP
2457,5,UK National,GBP
2463,5,UK National,GBP
2466,5,UK National,GBP
2467,5,UK National,GBP
2469,5,UK National,GBP
2470,5,UK National,GBP
2479,5,UK National,GBP
2480,5,UK National,GBP
2486,5,UK National,GBP
2487,5,UK National,GBP
2490,5,UK National,GBP
2503,5,UK National,GBP
2522,5,UK National,GBP
2526,5,UK National,GBP
2527,5,UK National,GBP
2530,5,UK National,GBP
2532,5,UK National,GBP
2535,5,UK National,GBP
