"ITEM","PROMO_ZONE_ID","SIMPLE_PROMO_RETAIL"
"050863209-001",12,6.00
"050863209-004",13,6.00
"050863209-004",12,6.00
"050863209-008",13,6.00
"050863209-008",12,6.00
"050863209-007",13,6.00
"050863209-007",12,6.00
"050863209-002",13,6.00
"051401738-001",6,3.00
"051401738-001",7,3.00
"051401738-001",5,3.00
"059955818-001",9,3.00
"059955818-001",6,3.00
"059955818-001",7,3.00
"059955818-001",5,3.00
"051401738-001",9,3.00
"050923865",5,3.00
"050923865",9,3.00
"050923865",6,3.00
"050923865",7,3.00
"050923865-001",6,3.00
"050923865-002",5,3.00
"050923865-002",9,3.00
"050923865-003",9,3.00
"050923865-001",9,3.00
"050863209-001",13,6.00
"050863209",12,6.00
"050863209",13,6.00
"050863209-002",12,6.00
"050923865-003",7,3.00
"050923865-003",6,3.00
"050923865-003",5,3.00
"050923865-001",5,3.00
"050923865-002",6,3.00
"050923865-002",7,3.00
"050923865-001",7,3.00
"050979885-002",12,5.00
"050979885-002",13,5.00
"050979885-003",12,5.00
"050979885-003",13,5.00
"050979885-004",12,5.00
"050979885-004",13,5.00
"050979885",12,5.00
"050979885",13,5.00
"050979885-001",12,5.00
"050979885-001",13,5.00
"051865972",12,4.00
"065318447-001",13,4.00
"051865972-003",13,4.00
"051865972-002",13,4.00
"065318447",13,4.00
"064232964",6,5.00
"064232964",5,5.00
"064232964",9,5.00
"064232964",7,5.00
"065318447-001",12,4.00
"051865972-001",13,4.00
"051865972-003",12,4.00
"065318447",12,4.00
"051865972-001",12,4.00
"051865972",13,4.00
"051865972-002",12,4.00
"058041058",12,6.00
"058041058",13,6.00
"051483041",7,3.00
"051483041",5,3.00
"051483041",9,3.00
"051483041",6,3.00
"058041058-002",12,6.00
"058041058-001",13,6.00
"058041058-001",12,6.00
"058041058-002",13,6.00
"058041058-003",13,6.00
"058041058-003",12,6.00
"050875253-003",9,3.00
"050863209-008",9,3.00
"050875253-002",9,3.00
"050875253-007",9,3.00
"050417860-001",9,3.00
"050875253-001",9,3.00
"050875253-005",6,3.00
"050875253-006",9,3.00
"050875253-006",6,3.00
"050875253-001",7,3.00
"050417860",9,3.00
"050875253-005",9,3.00
"050875253-007",5,3.00
"050875253-007",6,3.00
"050875253-002",5,3.00
"050875253",9,3.00
"050863209-008",6,3.00
"050875253-004",9,3.00
"050875253-004",5,3.00
"050417860",6,3.00
"050417860",7,3.00
"050417860",5,3.00
"050875253",7,3.00
"050875253",6,3.00
"050875253",5,3.00
"050875253-005",7,3.00
"050875253-005",5,3.00
"050875253-003",7,3.00
"050875253-003",6,3.00
"050875253-003",5,3.00
"050863209-008",7,3.00
"050863209-008",5,3.00
"050875253-004",7,3.00
"050875253-006",7,3.00
"050875253-006",5,3.00
"050875253-001",6,3.00
"050875253-001",5,3.00
"050417860-001",6,3.00
"050417860-001",7,3.00
"050417860-001",5,3.00
"050875253-004",6,3.00
"050875253-007",7,3.00
"050875253-002",7,3.00
"050875253-002",6,3.00
"074745970",13,3.68
"074745970",12,3.50
"063250212-002",9,4.00
"063250212-002",7,4.00
"063250212-002",5,4.00
"063250212-001",9,4.00
"063250212",9,4.00
"073546591",6,3.50
"073546591",9,3.50
"073546591",7,3.50
"073546591",5,3.50
"073324888",6,4.00
"073324888",9,4.00
"073324888",7,4.00
"073324888",5,4.00
"073420307",6,4.50
"073420307",9,4.50
"073420307",7,4.50
"073420307",5,4.50
"063250212-002",6,4.00
"063250212-001",7,4.00
"063250212-001",5,4.00
"063250212-001",6,4.00
"063250212",7,4.00
"063250212",6,4.00
"063250212",5,4.00
"062953269-001",12,5.24
"062953269-003",12,5.24
"062952967",13,5.50
"062952967-001",12,5.50
"062952967-002",12,5.50
"062952967-003",12,5.50
"062952967-005",12,5.50
"061747816",13,2.36
"061747816",12,2.25
"067819502",13,2.10
"067819502",12,2.00
"067819462",13,2.10
"067819462",12,2.00
"071104000",5,12.00
"071104000",6,12.00
"071104000",7,12.60
"071104000",9,12.00
"062952967-001",13,5.50
"062952967-002",13,5.50
"062952967-004",12,5.50
"062542122-001",12,5.00
"062542122-002",12,5.00
"062542076",13,5.00
"062953269",13,5.50
"062952967-004",13,5.50
"073616192",5,1.95
"073616192",6,1.95
"070461303",9,23.40
"070461303",5,23.40
"070461303",6,23.40
"070461303",7,23.40
"070461257",7,23.40
"070461257",9,23.40
"070461257",5,23.40
"070461257",6,23.40
"070461113",7,23.40
"070461113",9,23.40
"070461113",5,23.40
"070461113",6,23.40
"073616192",7,1.95
"073616192",9,1.95
"070528370",5,1.70
"070528370",6,1.70
"070528370",7,1.70
"070528370",9,1.70
"070811869",7,31.50
"070811869",9,31.50
"070811869",5,31.50
"070811869",6,31.50
"062953269",12,5.24
"062953269-004",12,5.24
"062953269-005",12,5.24
"062953269-004",13,5.50
"062952967-005",13,5.50
"062953269-002",13,5.50
"062953269-003",13,5.50
"062953269-005",13,5.50
"062952967-003",13,5.50
"062952967",12,5.50
"062953269-002",12,5.24
"062953269-001",13,5.50
"062542122",12,5.00
"062542076-001",13,5.00
"062542122",13,5.00
"062542122-001",13,5.00
"062542076",12,5.00
"062542122-002",13,5.00
"062542076-001",12,5.00
"070528306",7,1.70
"070528306",9,1.70
"070528306",5,1.70
"070528306",6,1.70
"070811731",9,31.50
"070811731",5,31.50
"070811731",6,31.50
"070811731",7,31.50
"051872617",15,2.18
"051872617",8,2.18
"051872617-001",15,2.18
"051872617-001",8,2.18
"070724811",6,27.00
"070724811",5,27.00
"070724811",9,27.00
"070724932",6,1.10
"070725240",6,0.95
"070725292",5,0.95
"070725240",5,0.95
"070725263",5,1.10
"070725263",6,1.10
"070725240",7,0.95
"070725263",7,1.10
"070725292",6,0.95
"070725292",7,0.95
"070724932",9,1.10
"070724684",6,35.25
"070724684",5,35.25
"070724684",7,35.25
"070724684",9,35.25
"070724811",7,27.00
"070724932",5,1.10
"070724932",7,1.10
"070725240",9,0.95
"070725263",9,1.10
"070725292",9,0.95
"053760614",9,7.50
"070153501",9,21.00
"070153518",5,30.00
"070153518",9,30.00
"070724644",5,35.25
"070724045",6,27.00
"070724108",5,24.75
"070724189",6,24.75
"070724644",6,35.25
"070724189",7,24.75
"070724189",9,24.75
"070724644",9,35.25
"070724189",5,24.75
"070724108",6,24.75
"070724045",7,27.00
"070724045",5,27.00
"070724108",7,24.75
"070724108",9,24.75
"070724045",9,27.00
"070551652",7,30.00
"070551652",5,30.00
"070551652",9,30.00
"053760614",7,7.50
"053760614",5,7.50
"053760614",6,7.50
"070153501",7,21.00
"070153501",5,21.00
"070153501",6,21.00
"070153518",7,30.00
"070153518",6,30.00
"070551652",6,30.00
"070724644",7,35.25
"059389699",7,35.99
"059389699",9,35.99
"065601492",7,36.00
"065601492",9,36.00
"065601492",6,36.00
"062917463",7,36.00
"065601486",7,35.10
"065601486",9,35.10
"065601492",5,36.00
"065601486",5,35.10
"062917463",9,36.00
"059389699",5,35.99
"059389699",6,35.99
"062917463",5,36.00
"062917463",6,36.00
"065601486",6,35.10
"072349601",9,4.65
"072349601",7,4.65
"072349601",5,4.65
"072349601",6,4.65
"072349561",9,4.65
"072349561",7,4.65
"072349561",5,4.65
"072349561",6,4.65
"053234691",7,21.60
"053234691",6,21.60
"053234691",5,21.60
"053234691",9,21.60
"062917388",7,34.65
"062917388",6,34.65
"062917388",9,34.65
"062917388",5,34.65
"066153714",7,1.40
"066153714",9,1.40
"066153714",5,1.40
"066153714",6,1.40
"073490298",6,26.10
"073490298",7,26.10
"073490298",5,26.10
"073490298",9,26.10
"053722706",7,20.60
"053722706",6,20.60
"053722706",5,20.60
"053722706",9,20.60
"062186917",9,31.50
