"ITEM","PRICE_ZONE_ID","SELLING_RETAIL"
"074382655",2,6.00
"073364362",14,7.00
"074481273",2,1.50
"074547473",14,1.50
"070860107",14,2.00
"074449629",2,2.00
"074780368",2,1.50
"074246921",14,1.50
"074473507",2,2.00
"071128686",2,3.50
"070864472",2,1.20
"074473513",14,2.00
"073299393",2,2.00
"074449514",2,2.50
"074687519",2,1.00
"074784871",2,7.00
"074481267",2,4.00
"074401657",14,1.50
"074473536",2,2.00
"074615842",2,2.00
"074449572",2,2.50
"074449474",2,2.00
"073364270",14,1.50
"074449203",2,1.20
"074246938",14,1.25
"070864414",2,1.20
"073364293",14,1.50
"074449347",2,1.50
"073785013",2,1.50
"074500033",2,1.00
"070864466",2,2.00
"074401726",2,2.00
"074547484",14,1.50
"074473484",2,2.00
"074734712",14,1.25
"074449554",14,2.50
"074247102",2,1.50
"074401657",2,1.50
"074500079",2,1.00
"074382459",2,2.00
"073299456",14,2.00
"074449595",14,2.00
"073323906",14,2.00
"074401248",2,1.50
"073760440",14,10.00
"073760440",3,10.00
"050712700-002",3,0.70
"050712700-001",3,0.70
"050712700-001",2,0.68
"050712700-002",4,0.65
"050712700-001",14,0.70
"073760440",4,10.00
"073760440",2,10.00
"057056138",3,1.00
"074784871",3,7.00
"074635115",3,2.00
"074401093",3,2.00
"074449382",3,2.00
"074615813",3,1.50
"074449376",3,2.00
"074449261",3,1.75
"074449278",3,1.75
"073364310",3,1.50
"074481307",3,1.50
"074770144",3,1.50
"072142804",3,2.00
"074734706",3,1.50
"074473450",3,2.00
"074449399",3,2.00
"074401726",3,2.00
"074449404",3,2.00
"074247102",3,1.50
"074401473",3,1.50
"074382661",3,2.00
"074401381",3,2.00
"074449284",3,1.75
"074449416",3,2.00
"072142782",3,1.50
"051255663",1,0.32
"053916299",1,2.19
"070701147",1,2.19
"073292550",1,2.19
"070701147",2,2.30
"053916299",14,2.35
"073292550",3,2.35
"053916299",2,2.30
"053916299",4,2.19
"070701147",14,2.35
"073292550",4,2.19
"073292550",14,2.35
"073292550",2,2.30
"070701147",3,2.35
"053916299",3,2.35
"070701147",4,2.19
"050020931",1,0.40
"070814181",10,89.99
"072874261",10,39.99
"073068563",11,25.19
"050712700-001",1,0.65
"050712700-002",1,0.65
"050712700-002",14,0.70
"050712700-001",4,0.65
"050712700-002",2,0.68
"074780368",3,1.50
"073299341",3,1.50
"074383372",3,2.00
"064374847",3,7.00
"070860107",3,2.00
"074780374",3,2.00
"074401663",3,6.00
"074473473",3,2.00
"074226110",3,1.50
"074226070",3,1.50
"074401375",3,2.00
"073785013",3,1.50
"074473467",3,2.00
"074401300",3,2.00
"074383406",3,2.50
"073364241",3,1.50
"074449422",3,2.00
"074615836",3,2.00
"074401674",3,1.50
"074401127",3,1.50
"074481244",3,2.00
"074449445",3,2.00
"074473484",3,2.00
"074449451",3,2.00
"070860009",3,2.00
"073364270",3,1.50
"073785036",3,1.50
"063696341",1,2.10
"074225255",3,1.50
"074481630",3,1.50
"074485770",3,1.50
"074449468",3,2.00
"074383280",3,2.00
"063696243",4,1.85
"063696243",2,1.94
"063696243",3,1.94
"063696243",14,1.94
"073738272",1,2.10
"070012260",11,12.99
"074705154",11,12.99
"074705131",10,24.99
"063835477",10,59.99
"074623072",10,59.99
"054174984-001",14,2.74
"054174984-001",2,2.68
"061563254-001",3,1.02
"054276218-001",3,1.02
"051333853-001",14,2.90
"051333853-001",4,2.70
"054276218-001",14,1.02
"054171858-001",3,0.75
"051333853-001",2,2.84
"054274382-001",2,1.00
"061563254-001",2,1.00
"054171858-001",4,0.70
"054276218-001",2,1.00
"054174984-001",3,2.74
"054274382-001",14,1.02
"061563254-001",4,0.95
"054171858-001",14,0.75
"054276224-001",2,1.00
"054174984-001",4,2.55
"051333853-001",3,2.90
"054274382-001",3,1.02
"054276224-001",14,1.02
"061563254-001",14,1.02
"054276218-001",4,0.95
"054276224-001",3,1.02
"054171858-001",2,0.74
"054274382-001",4,0.95
"054276224-001",4,0.95
"052744463",2,2.21
"054274382",14,1.02
"070521158",14,1.82
"052814156",4,1.99
"067997969",4,0.45
"051255663",14,0.34
"054174984",4,2.55
"066304122",4,3.00
"054276224",14,1.02
"051384901",3,0.48
"050240970",2,0.53
"070786593",1,1.50
"070439642",1,4.00
"066952621",1,1.50
"067850141",1,1.50
"067786954",1,1.00
"067755375",1,0.45
"067786931",1,1.00
"070787413",1,1.50
"067787014",1,1.00
"066901694",1,0.45
"067755438",1,0.45
"067850187",1,1.50
"070787586",1,1.50
"066952189",1,1.50
"051639618",3,0.38
"051492888",3,1.08
"051989301",3,0.38
"051989157",3,0.38
"051295154",3,0.81
"051507579",3,0.81
"051989439",3,0.38
"052527369",3,3.23
"051492905",3,1.08
"071340094",2,1.04
"071340094",4,0.99
"065985923",3,2.99
"073666569",11,16.99
"071393704",4,1.98
"071957919",14,1.92
"071967090",14,1.92
"061117036",14,0.73
"067612199",3,1.45
"053407222",14,1.82
"054384142",4,1.79
"073984664",14,1.60
"067483419",2,1.25
"067483419",14,1.25
"065696205",4,1.79
"071167247",14,2.14
"053845002",14,0.73
"073135115",4,1.79
"071393704",14,2.13
"054384142",14,1.92
"065695961",14,1.92
"072776193",10,12.99
"055922674",3,33.48
"055922674",2,33.48
"055922674",14,33.48
"055922674",4,32.35
"071055040",2,59.50
"071093685",2,110.00
"071055040",1,59.50
"071093685",1,110.00
"071093466",1,79.50
"056266544",14,36.42
"056266544",4,35.19
"056266544",3,36.42
"056266544",2,36.42
"061563254",2,1.00
"067997566",14,2.04
"066304122",14,3.23
"071262508",3,0.48
"059796128",4,0.46
"052744463",14,2.26
"054276224",2,1.00
"054171858",4,0.70
"054276253",4,2.49
"054276276",2,2.61
"070521158",2,1.77
"051384901",2,0.47
"052744463",4,2.10
"054171858",14,0.75
"051255663",4,0.32
"051255663",2,0.34
"050550925",2,0.74
"067997969",3,0.48
"051384901",14,0.48
"052814156",14,2.14
"073193108",4,0.70
"054276218",2,1.00
"062469860",3,0.48
"050020516",4,0.46
"067635863",3,0.48
"050020931",2,0.42
"060978122",2,0.47
"059796128",2,0.48
"062469860",2,0.47
"061563254",14,1.02
"054276276",4,2.49
"050550925",14,0.75
"073193108",2,0.74
"052814156",2,2.09
"070521158",4,1.69
"059776771",14,0.48
"050020931",4,0.40
"050553093",4,0.56
"067636113",3,0.48
"073193108",14,0.75
"054622063",2,1.58
"054276253",2,2.61
"051823043",2,5.25
"067635863",14,0.48
"071262508",14,0.48
"054171858",2,0.74
"073135115",14,1.92
"055826293",3,1.45
"073193004",2,1.88
"055826293",2,1.42
"050480869",14,2.15
"071167282",4,1.99
"070822194",4,2.75
"050480869",4,2.00
"061614016",4,1.79
"061117036",4,0.68
"050017417",14,0.81
"054384418",4,1.79
"054613903",2,1.88
"053407222",4,1.69
"054384142",2,1.88
"071167247",4,1.99
"053845002",3,0.73
"053407222",2,1.77
"061117036",2,0.71
"071967090",4,1.79
"070822194",14,2.96
"050017417",3,0.81
"071167247",2,2.09
"055826293",14,1.45
"061614016",2,1.88
"071167074",14,2.14
"062862768",2,2.21
"050351781",2,1.05
"050351781",4,1.00
"051981027",4,0.68
"071167282",14,2.14
"065695961",4,1.79
"065696205",2,1.88
"067612199",14,1.45
"054613903",4,1.79
"062862768",14,2.26
"070836500",14,1.45
"051979083",2,0.71
"051981027",3,0.73
"067483419",3,1.25
"070855137",4,2.39
"071167074",4,1.99
"073984664",4,1.49
"071967090",2,1.88
"053845002",4,0.68
"071643191",14,1.08
"074186450",1,379.00
"072730339",3,3.03
"072730339",14,3.03
"072730339",4,2.89
"072730339",2,3.03
"073021653",10,4.69
"073021653",11,4.92
"053844907",1,0.55
"051979083",1,0.68
"054384142-002",1,1.79
"053845002-001",1,0.68
"054384418-002",1,1.79
"050480869-001",1,2.00
"050480869-002",1,2.00
"053844907-001",1,0.55
"054795617-001",1,2.75
"054384418-001",1,1.79
"055826293-001",1,1.35
"053407222-001",1,1.69
"054795617-002",1,2.75
"050480869-003",1,2.00
"071643191-001",1,1.00
"050351781-001",1,1.00
"054384142-001",1,1.79
"054613903-001",1,1.79
"051981027",14,0.73
"071643191",2,1.05
"071393802",4,1.95
"070822194",2,2.89
"055826293",4,1.35
"067483448",2,1.88
"050351781",3,1.08
"053844907",14,0.59
"071167155",2,2.09
"053844907",4,0.55
"053844907",2,0.58
"065696205",14,1.92
"071167155",14,2.14
"053845002",2,0.71
"070836500",4,1.35
"052884095",1,3.09
"074216577",4,16.00
"074216577",14,16.00
"074216577",2,16.00
"074216577",3,16.00
"070197656",3,36.75
"070197656",4,35.00
"070197656",14,36.75
"070197656",2,35.00
"070197656",1,35.00
"073398696",4,20.00
"073398696",3,20.00
"073398696",14,20.00
"073398696",2,20.00
"051279243",1,3.25
"051279243-001",1,3.25
"051279243-001",14,3.41
"071093685",4,110.00
"071093685",3,110.00
"071093466",14,79.50
"071055040",3,59.50
"071093466",4,79.50
"071055040",14,59.50
"071093466",3,79.50
"071093466",2,79.50
"071055040",4,59.50
"071093685",14,110.00
"051279243",2,3.41
"051279243-001",4,3.25
"051279243",4,3.25
"051279243",3,3.41
"051279243-001",2,3.41
"051279243",14,3.41
"051279243-001",3,3.41
"066717872",1,10.00
"070860464",1,1.00
"073364310",1,1.50
"071128686",1,3.50
"074401248",1,1.50
"073364270",2,1.50
"074226110",1,1.50
"070864472",1,1.20
"070864466",1,2.00
"070864454",1,1.00
"070864380",1,1.20
"074225255",1,1.50
"070864397",1,3.00
"070199769",1,1.00
"070864397",14,3.00
"074473484",14,2.00
"057056138",2,1.00
"074734620",2,1.25
"074500056",14,1.00
"074401732",2,2.00
"074481244",2,2.00
"074473542",2,2.00
"074500091",14,1.00
"074687502",2,1.00
"073785036",2,1.50
"074547496",14,1.50
"074500033",14,1.00
"074383372",2,2.00
"070860401",14,1.00
"074382661",2,2.00
"074383268",14,10.00
"074473513",2,2.00
"073299341",2,1.50
"074449290",2,1.75
"074382655",14,6.00
"073299393",14,2.00
"074449480",2,2.50
"074770138",2,1.50
"074481307",2,1.50
"064374866",14,7.00
"074547467",14,1.50
"073323987",2,1.50
"074401248",14,1.50
"074473524",14,2.00
"074687479",2,1.25
"074473524",2,2.00
"074734706",2,1.50
"074449606",1,1.25
"074449474",1,2.00
"074481630",1,1.50
"074449422",1,2.00
"074383372",1,2.00
"074687583",1,1.25
"074687577",1,1.25
